date,content,username,tweet_url,reply_count,retweet_count,like_count,verified,followers,content_clean,content_translated
2023-04-08 09:49:51+00:00,"@PNS_Ababil Ekonomi Jumbo, 
bayar THR PNS 50%, 
chuaakkk",pnsdaerahjelata,https://twitter.com/pnsdaerahjelata/status/1644638677073821697,7,14,66,False,5709,ekonomi jumbo bayar thr pns 50 chuaakkk,Jumbo Economy Paying THR PNS 50 Chuaks
2023-04-08 09:25:00+00:00,wrk! nangis 300rb buat sebulan ke depan udahmah belum ngasih thr buat ponakan sekarang motorku juga rusak😭,worksfess,https://twitter.com/worksfess/status/1644632424700350471,1,1,2,False,615706,wrk nangis 300rb buat sebulan ke depan udahmah belum ngasih thr buat ponakan sekarang motorku juga rusak😭,"Wrk crying 300 thousand for the next month, I haven't given a THR for the niece now my motorbike is also broken"
2023-04-08 08:20:47+00:00,mau sedih tapi thr udah cair,txtfrom1989,https://twitter.com/txtfrom1989/status/1644616265426935809,0,1,1,False,1589,mau sedih tapi thr udah cair,I want to be sad but the THR is already liquid
2023-04-08 06:30:54+00:00,@PadmavatiPrati1 Saya setuju ORMAS yg suka minta/malak dan minta THR kewarga sebaiknya ijinya di coret saja.karena sdh melenceng dari kaedah pendirianya dulu.,CappucinoNdeso,https://twitter.com/CappucinoNdeso/status/1644588610027679746,1,1,19,False,1257,saya setuju ormas yg suka mintamalak dan minta thr kewarga sebaiknya ijinya di coret sajakarena sdh melenceng dari kaedah pendirianya dulu,I agree that mass organizations who like to ask for divorce and ask the THR to residents should be permitted to be caught in the pakjaksena because they have been deviated from Kaedah their establishment first
2023-04-08 06:13:17+00:00,Sumbangkan 1 like kamu di pinned📌 dan semoga tahun ini lebaran bisa bagi2 THR sama keluarga❤️,igiveawaykri,https://twitter.com/igiveawaykri/status/1644584178896494593,7,1,14,False,53900,sumbangkan 1 like kamu di pinned📌 dan semoga tahun ini lebaran bisa bagi2 thr sama keluarga❤️,Donate 1 like you in Pinned📌 and hopefully this year Eid can share THR with family❤️
2023-04-08 06:02:52+00:00,"Kenapa THR Hanya Cair 50%? Duitnya Masih Dipinjam Koruptor, Sabar Yaa..

Ingat! Bulan Puasa Harus Ikhlas. Kalau Gak Ikhlas Bisa Batal! 
Puasanya? 
Bukan, THR-nya!
😁😁",MelesetDikit,https://twitter.com/MelesetDikit/status/1644581556722483206,3,7,15,False,4413,kenapa thr hanya cair 50 duitnya masih dipinjam koruptor sabar yaa ingat bulan puasa harus ikhlas kalau gak ikhlas bisa batal puasanya bukan thrnya 😁😁,Why is the THR only 50 money is still borrowed by corruptors patiently remember the fasting month must be sincere if not sincere can be canceled fast not the THR 😁😁
2023-04-08 05:29:30+00:00,Gimana gambaran THR tahun ini saudara2? Jadi mudik kah? Jangan lupa selain baju lebaran ada biaya penitipan kucing yang harus disiapkan 😅😽,adenan_abdilla,https://twitter.com/adenan_abdilla/status/1644573160531202048,2,3,1,False,4688,gimana gambaran thr tahun ini saudara2 jadi mudik kah jangan lupa selain baju lebaran ada biaya penitipan kucing yang harus disiapkan 😅😽,"What is the picture of the THR this year, you're going home, don't forget that in addition to Eid clothes, there is a cost of care for cats that must be prepared 😅😽"
2023-04-08 04:50:08+00:00,🤍 udah mau deket lebaran tapi kok thr belum ada yang masuk ya,convomfs,https://twitter.com/convomfs/status/1644563251253084162,15,2,13,False,1508682,udah mau deket lebaran tapi kok thr belum ada yang masuk ya,"I want to be near Lebaran, but how come there's no THR has come in"
2023-04-08 04:02:54+00:00,Y — BAIKKKK BANGET dulu pertama kenal kirain orang indo eh tau-tau orang malaysia… its so random and funny tapi kamu fasih banget bahasa indonya 😭 oh iya mana kemarin mau tukeran THR tapi akunya lupa mata uang kita berbeda…,loveforyujin,https://twitter.com/loveforyujin/status/1644551364448759808,1,0,0,False,174,baikkkk banget dulu pertama kenal kirain orang indo eh tautau orang malaysia… its so random and funny tapi kamu fasih banget bahasa indonya oh iya mana kemarin mau tukeran thr tapi akunya lupa mata uang kita berbeda…,"It's really good, I first got to know the indo people, eh Tautau Malaysian ... its so random and funny, but you are very fluent in the Indonesian language oh yeah where yesterday I wanted to exchange THR but I forgot that our currency was different ..."
2023-04-08 03:46:36+00:00,"Kalo buat pegawai lingkungan mah no problem. Malah seneng. Satpam jaga portal n ronda. Pak Sumbangan masjid jg ayo.

Tp kalo sampe ormas… hhhhh lau sokappppp lo minta2 THR. Hobi bikin panggung nutup jalan, malak parkir di Alfamart. Ga bantu warga",Lqrqs,https://twitter.com/Lqrqs/status/1644547262159400962,1,2,3,False,4947,kalo buat pegawai lingkungan mah no problem malah seneng satpam jaga portal ronda pak sumbangan masjid jg ayo tp kalo sampe ormas… hhhhh lau sokappppp lo minta2 thr hobi bikin panggung nutup jalan malak parkir di alfamart ga bantu warga,"if for environmental employees, no problem, even the security guard is to guard the portal, the donation of the mosque is, but if you go to the mass organization ... hhhhh lau sokapppp."
2023-04-08 03:07:20+00:00,"sumpah deh, daripada ngasi thr ke sodara yang nggak dikenal mending dipake buat nambah tattoo duitnya 💀😭‼️ like who r u, and why’d u want my money 🫠🫠",champagneojan,https://twitter.com/champagneojan/status/1644537380781854722,10,5,35,False,12515,sumpah deh daripada ngasi thr ke sodara yang nggak dikenal mending dipake buat nambah tattoo duitnya 💀😭‼️ like who and why’d want my money 🫠🫠,"I swear instead of giving THR to an unknown brother, it's better to use the money to add the money 💀 Get‼ ️ Like Who and Why 'Want My Money 🫠🫠"
2023-04-08 03:00:00+00:00,"Sobat Shopee, Jangan lewatkan Shopee Big Ramadan Sale Promo Mudik Terbesar tanggal 10-11 April! 🤩

Belanja semua kebutuhanmu dan nikmati promo Flash Sale Akbar Rp1, Gratis Ongkir Super Dahsyat, dan THR Kaget 15M.",ShopeeID,https://twitter.com/ShopeeID/status/1644535536143720448,9,22,61,True,907012,sobat shopee jangan lewatkan shopee big ramadan sale promo mudik terbesar tanggal 1011 april belanja semua kebutuhanmu dan nikmati promo flash sale akbar rp1 gratis ongkir super dahsyat dan thr kaget 15m,Friend Shopee Don't Miss Shopee Big Ramadan Sale The Biggest Mudik Promo Promo on 1011 April Shopping All Your Needs And Enjoy Promo Flash Sale Akbar Rp1 FREE SUPER SUPER DAHSYY
2023-04-08 00:53:28+00:00,akhir bulan udah lebaran. kalian udah siapin template jawaban dari pertanyaan-pertanyaan yang ‘memuakkan’ itu?,apamungkasa,https://twitter.com/apamungkasa/status/1644503692182441986,4,1,3,False,32256,akhir bulan udah lebaran kalian udah siapin template jawaban dari pertanyaanpertanyaan yang ‘memuakkan’ itu,"At the end of the month, your Eid has prepared the answer template from the questions that are 'sickening'"
2023-04-08 00:12:55+00:00,"@PNS_Ababil @haiDJPb Mereka paling berjasa, kalo mereka ga kerja, thr gaji kalian ga akan cair",anaklengkong,https://twitter.com/anaklengkong/status/1644493486941691904,1,2,4,False,2,mereka paling berjasa kalo mereka ga kerja thr gaji kalian ga akan cair,"They are the most meritorious if they don't work your salary, your salary will not be disbursed"
2023-04-07 22:19:42+00:00,"Lebaran bentar lgi dan pasti pertanyaan” begini bkln muncul
•Calonnya mana, kapan nikah?
•Udah nikah kan, udah isi belom?
•Anaknya udah gede, gamau dikasih adek?
•Kerjanya dimana?
•Abis sekolah mau lanjut kuliah dimna? 
Drpd nanya mah aslinya mending ngasih THR aja ga sih ☺️",ichaakartika__,https://twitter.com/ichaakartika__/status/1644464997190500352,15,7,69,False,15478,lebaran bentar lgi dan pasti pertanyaan” begini bkln muncul •calonnya mana kapan nikah •udah nikah kan udah isi belom •anaknya udah gede gamau dikasih adek •kerjanya dimana •abis sekolah mau lanjut kuliah dimna drpd nanya mah aslinya mending ngasih thr aja ga sih ☺️,"Lebaran for a while and surely the question ""like this, how come the candidate is when the candidate is marriage."
2023-04-07 21:46:18+00:00,"@ft_yuchan @_anakpolos @tanyakanrl bener, gue ex F&amp;B 2th
pas bulan puasa yg bikin berasa bangeeet kerja. 
Orang-orang dateng mepet pas mau buka tapi minta duluan, sedangkan pengunjung awal banyak yg belum siap. 
pas dapet THR ga sesuai sama capek wkwk
Boss pribumi lebih kejam daripada cyna",huniamania,https://twitter.com/huniamania/status/1644456591658450944,1,2,14,False,41,bener gue ex fampb 2th pas bulan puasa yg bikin berasa bangeeet kerja orangorang dateng mepet pas mau buka tapi minta duluan sedangkan pengunjung awal banyak yg belum siap pas dapet thr ga sesuai sama capek wkwk boss pribumi lebih kejam daripada cyna,"Really, I ex FAMPB 2th during the fasting month that makes me feel like the work of the people comes tight when you want to open but ask first while the initial visitors are not ready when you get the THR in accordance with the same fatigue, the indigenous boss is more cruel than Cyna"
2023-04-07 21:38:15+00:00,mau bagi-bagi THR total Rp24.000.000 buat 8 peserta paling rajin dan paling,Iunatico_feliz,https://twitter.com/Iunatico_feliz/status/1644454563301269506,2,6,3,False,54965,mau bagibagi thr total rp24000000 buat 8 peserta paling rajin dan paling,want to share a total THR of Rp24 000000 for the 8 most diligent and most diligent participants
2023-04-07 21:13:40+00:00,lagi mau bagi-bagi THR total Rp24.000.000 buat 10 peserta paling rajin dan paling beruntung nih,Iunatico_feliz,https://twitter.com/Iunatico_feliz/status/1644448379336884229,4,10,9,False,54965,lagi mau bagibagi thr total rp24000000 buat 10 peserta paling rajin dan paling beruntung nih,I want to share the total THR total Rp24000000 for the 10 most diligent and luckiest participants
2023-04-07 20:34:57+00:00,"@RomitsuT Ekonomi Jumbo tapi THR hanya ngasih 50%

Kasihan Menteri satu ini semakin lama semakin tidak memiliki arah dalam menyampaikan informasi ke Publik",DOITSMARTWAY,https://twitter.com/DOITSMARTWAY/status/1644438636895809537,1,2,16,False,221,ekonomi jumbo tapi thr hanya ngasih 50 kasihan menteri satu ini semakin lama semakin tidak memiliki arah dalam menyampaikan informasi ke publik,Jumbo economy but THR only gives 50 Poor Minister This one is increasingly having no direction in conveying information to the public
2023-04-07 17:39:18+00:00,"Gokil banyak yg ikutan!!!🥺
Mister umumin Bagi2 
THR DAY 1 - DITUTUP!🤯👍

Pemenang bakal Mister reply langsung dan cek dm pas sahur nanti Amigos!

Yang belom sempet ikutan dan menang besok maseh ada lageeee 😎

#RamadanSeruMisterPotato",MisterPotato_ID,https://twitter.com/MisterPotato_ID/status/1644394432089985026,1,13,32,False,9878,gokil banyak yg ikutan🥺 mister umumin bagi2 thr day 1 ditutup🤯👍 pemenang bakal mister reply langsung dan cek dm pas sahur nanti amigos yang belom sempet ikutan dan menang besok maseh ada lageeee,Many crazy people who follow the Mister annums for the Thr Day 1 closed🤯👍 winner will be a direct Mister Reply and check DM when the dawn will later amigos who hasn't participated and wins tomorrow the Lageeee is lageeee
2023-04-07 17:33:17+00:00,"Besok mau bagi² bensin ke 10 org
Buat yg ojol
Yg jualan
Yang blm THR an
Yg ga dpt THR
Yang dan yang....

Pantengin ya

Inshaallah rejeki g kmn",jumintenkoplak,https://twitter.com/jumintenkoplak/status/1644392918113996800,63,31,167,False,56989,besok mau bagi² bensin ke 10 org buat yg ojol yg jualan yang blm thr an yg ga dpt thr yang dan yang pantengin ya inshaallah rejeki kmn,tomorrow I want to share gasoline to 10 people for those who sell ojol who have not been a THR that can not
2023-04-07 15:07:21+00:00,@BluryGlasses76 THR itu kewajiban bagi yang memperkerjakan. Ada yang ga tau kalo satpam komplek itu yang memperkerjakan adalah warga malah kelewatan anehnya.,ruliemaulana,https://twitter.com/ruliemaulana/status/1644356193304072192,1,1,21,False,2451,thr itu kewajiban bagi yang memperkerjakan ada yang ga tau kalo satpam komplek itu yang memperkerjakan adalah warga malah kelewatan anehnya,THR is an obligation for those who employ some who don't know that the security guard who hires is that the residents are even strange
2023-04-07 13:50:58+00:00,@XC1R3NG Ada orang BPK juga...ngerik ini mah baku atur buat bagi2 THR ala bupati katrok!!,RelawanNusanta1,https://twitter.com/RelawanNusanta1/status/1644336971400220672,1,1,1,False,5274,ada orang bpk jugangerik ini mah baku atur buat bagi2 thr ala bupati katrok,there are people who are also also set in this standard for sharing THR Ala Katrok Regent
2023-04-07 12:48:40+00:00,"Kalau tanggal segini sudah dapat THR tetapi hampir habis, apakah juga bisa mengadu ke posko @KemnakerRI ?",mantriss,https://twitter.com/mantriss/status/1644321290625642496,4,2,3,False,33682,kalau tanggal segini sudah dapat thr tetapi hampir habis apakah juga bisa mengadu ke posko,If this date can get THR but almost run out of whether it can also complain to the post
2023-04-07 12:12:37+00:00,@dhaniblehhors Ini negara terbaik meski honorer tanpa THR 😁,Migran_TV_7777,https://twitter.com/Migran_TV_7777/status/1644312220090916865,3,0,20,False,24474,ini negara terbaik meski honorer tanpa thr,This is the best country despite honorary without THR
2023-04-07 12:01:42+00:00,"@Migran_TV_7777 wajar banget beliau pake tas branded,, beliau istri seorang presiden anggota G20.
istri presiden coy,, masa pake tas kresek indomaret yang seharga 5000 perak.
perkara rakyat miskin melarat gak dapet THR ya bodo amat,, salah sendiri jadi rakyat koq miskin 😁🤣😁🤣🤣",AhmadMuhtar_98,https://twitter.com/AhmadMuhtar_98/status/1644309473035689985,2,2,11,False,110,wajar banget beliau pake tas branded beliau istri seorang presiden anggota g20 istri presiden coy masa pake tas kresek indomaret yang seharga 5000 perak perkara rakyat miskin melarat gak dapet thr ya bodo amat salah sendiri jadi rakyat koq miskin 😁🤣😁🤣🤣,"It is very natural that he uses branded bags, his wife is the wife of a president of G20, the wife of the president, coy, when we use the Indomaret plastic bag, which costs 5000 silver, the poor people don't get THR, so Bodo is very wrong, so the people are poor 😁🤣😁🤣🤣"
2023-04-07 11:12:12+00:00,"@TopToross @bengkeldodo Awas aja nanti ya.. fix kenal ulty babe soale g ngajak buber... 🥺
THR on the way",dhemit_is_back,https://twitter.com/dhemit_is_back/status/1644297014304444418,1,1,2,False,23291,awas aja nanti ya fix kenal ulty babe soale ngajak buber thr on the way,"Just watch out later, Fix knows Ulty Babe, I will invite to baber THR on the way"
2023-04-07 11:10:59+00:00,@dhemit_is_back @TopToross hemmmm aku mau minta thr lah,bengkeldodo,https://twitter.com/bengkeldodo/status/1644296707579203586,2,1,1,False,33821,hemmmm aku mau minta thr lah,Hemmmm I want to ask for THR
2023-04-07 10:22:26+00:00,Sapa mau thr?,Santzjs,https://twitter.com/Santzjs/status/1644284489957507080,65,4,20,False,15148,sapa mau thr,Who want THR
2023-04-07 10:06:07+00:00,"Duhhh aroma aroma thr nii 
Svgar siap menerima 🥳🥳🥳",SVGARR42K,https://twitter.com/SVGARR42K/status/1644280384929292289,1,1,7,False,2824,duhhh aroma aroma thr nii svgar siap menerima 🥳🥳🥳,Duhhh Aroma Aroma THR NII SVGAR is ready to accept 🥳🥳🥳
2023-04-07 09:27:55+00:00,"@Paltiwest Tiap Ramadhan pasti ada OTT, kasus THR belum kah ? Minggu2 terakhir biasanya.",Papa_aji,https://twitter.com/Papa_aji/status/1644270772079448064,1,1,1,False,208,tiap ramadhan pasti ada ott kasus thr belum kah minggu2 terakhir biasanya,"Every Ramadan there must be an OTT case of the THR case, not yet the last week usual"
2023-04-07 09:21:48+00:00,"@ridwanhr Dapat THR ya itu hak, tapi sumber uangnya bila berasal dari cara minta kayak gini ya malah jadi pertanyaan dan polemik.
Idealnya sudah jadi kesepakatan dan mufakat diantara pemerintah dan warga nya. Agar tidak ada yg merasa didzalimi.",xboripx,https://twitter.com/xboripx/status/1644269230039388161,1,1,23,False,600,dapat thr ya itu hak tapi sumber uangnya bila berasal dari cara minta kayak gini ya malah jadi pertanyaan dan polemik idealnya sudah jadi kesepakatan dan mufakat diantara pemerintah dan warga nya agar tidak ada yg merasa didzalimi,"get a THR yes it is a right but the source of money if you come from how to ask like this, but it becomes a question and the ideal polemic has become an agreement and consensus between the government and its citizens so that no one feels wronged"
2023-04-07 09:12:46+00:00,"break time!

stay tune terus yaa untuk sesi kedua,
kita bakal balik setelah ini!
masih banyak GA dan THR gess!
#DegreesLiveSessionRamadhan",Degrees_OFC,https://twitter.com/Degrees_OFC/status/1644266957657755648,2,1,2,False,2643,break time stay tune terus yaa untuk sesi kedua kita bakal balik setelah ini masih banyak ga dan thr gess,Break time stay tune continues for the second session we will return after this there are still many GA and THR gess
2023-04-07 09:11:18+00:00,"@ridwanhr Dulu tinggal di cluster lama jg cuma dua poin itu sih petugas keamanaan&amp;kebersihan. Pengurus RT, dawis itu minta thr emang aneh. Tp yg lebih aneh lg kalo di datengin ormas minta thr sih. semenjak pindah ke cluster lebih elit uda ga ada sumbangan gini lg.",haihaarf,https://twitter.com/haihaarf/status/1644266590983303169,5,13,359,False,481,dulu tinggal di cluster lama jg cuma dua poin itu sih petugas keamanaanampkebersihan pengurus rt dawis itu minta thr emang aneh tp yg lebih aneh lg kalo di datengin ormas minta thr sih semenjak pindah ke cluster lebih elit uda ga ada sumbangan gini lg,"In the past, I lived in the old cluster, there were only two points, the officers of the RT Dawis administrators asked for the THR, but it was strange, but it was stranger, if he was on the mass organization, I asked for the THR since moving to the more elite cluster, there was no contribution like this, there was no contribution"
2023-04-07 08:55:15+00:00,mau bagi bagi thr 20k dana buat dua orang. rt aja reply yang baik baik buat tahun ini. #zonauang #zonaba,rgoseh,https://twitter.com/rgoseh/status/1644262549343596549,96,158,4,False,451,mau bagi bagi thr 20k dana buat dua orang rt aja reply yang baik baik buat tahun ini,Want to share THR 20K funds for two RT people who are good good for this year
2023-04-07 08:50:00+00:00,"-idm

Aku kasihan banget sama Taehyung
Di saat BTS solo karir, semua buat lagu, tapi Taehyung harus magang di restoran. 
Mana gak dapat cuti
THR lebaran juga belum tntu dapat
Kasian bgt😭",indomyfess,https://twitter.com/indomyfess/status/1644261227944869888,294,322,3967,False,277931,idm aku kasihan banget sama taehyung di saat bts solo karir semua buat lagu tapi taehyung harus magang di restoran mana gak dapat cuti thr lebaran juga belum tntu dapat kasian bgt😭,IDM I really feel sorry for Taehyung when BTS Solo career all for songs but Taehyung must be an internship at the restaurant which can't leave the Eid THR also has not been able to feel bad
2023-04-07 08:46:17+00:00,"@recehtapisayng Kok bisa suka sama sepupu yg dari kecil hampir tiap thn atau minimal 2 thn sekali ketemu. pernah bobo bareng, mandi bareng, dimarahin bareng, habisin uang thr jajan ga penting, pokoknya semua aibnya ditau ngapain disukain",dilahsyawal,https://twitter.com/dilahsyawal/status/1644260293902757891,2,3,36,False,489,kok bisa suka sama sepupu yg dari kecil hampir tiap thn atau minimal 2 thn sekali ketemu pernah bobo bareng mandi bareng dimarahin bareng habisin uang thr jajan ga penting pokoknya semua aibnya ditau ngapain disukain,"How can you like a cousin who from childhood almost every year or a minimum of 2 years once met once a bobo together to take a shower together with the money finished money, the money is not important."
2023-04-07 08:45:00+00:00,Sedih cok! Baru gajian trus dapet THR tapi ga ada yang dijajanin. Ada F dom sby yang mau jajan bareng? Aku m2x btw,EJAVofficial,https://twitter.com/EJAVofficial/status/1644259969515266048,10,1,14,False,21418,sedih cok baru gajian trus dapet thr tapi ga ada yang dijajanin ada dom sby yang mau jajan bareng aku m2x btw,sad cok just pay and then get a THR but there is nothing that is tailed with Dom SBY who wants to snack with me m2x btw
2023-04-07 08:35:01+00:00,"⠀
『••••』Ding dong, your package has arrived!

To : bang aden @drksaide
Message for you: dah w beliin thr wat lebara nih biar rumah lu ada pajangannya yh sm” 
From: M

#VAMOSUCI",Yoionoh,https://twitter.com/Yoionoh/status/1644257458142191616,1,1,1,False,4876,『••••』ding dong your package has arrived to bang aden message for you dah beliin thr wat lebara nih biar rumah lu ada pajangannya yh sm” from,『••••』 Ding Dong Your Package has Arrived to Bang Aden Message for You Already Buy Thr wat Lebara so that your house has a display
2023-04-07 08:24:51+00:00,"@ruliemaulana Zakat fitrah dipaksa per rumah minimal 3 org per rumah dan mesti beli beras ke musholla ya aneh

Satpam tukang sampah wajar dikasih THR 

Pengurus RT? Mereka digaji kok 2-2.5 setiap bulan",salima252lagi,https://twitter.com/salima252lagi/status/1644254898870177792,4,5,57,False,897,zakat fitrah dipaksa per rumah minimal 3 org per rumah dan mesti beli beras ke musholla ya aneh satpam tukang sampah wajar dikasih thr pengurus rt mereka digaji kok 225 setiap bulan,"zakat fitrah is forced per house at least 3 people per house and must buy rice to the mosque, yes weird the security guard is a reasonable garbage, given the RT management"
2023-04-07 08:13:52+00:00,"dewasa level:

mau lebaran ngga mikirin baju baru tapi mikirin thr buat keponakan-keponakan",bayu_joo,https://twitter.com/bayu_joo/status/1644252134463123456,187,586,1821,False,1579413,dewasa level mau lebaran ngga mikirin baju baru tapi mikirin thr buat keponakankeponakan,mature level want to Eid not thinking about new clothes but thinking of THR for my nephew
2023-04-07 08:13:09+00:00,Kalian tim belanjain #THR online atau on the spot? 🖐️,pejabrut,https://twitter.com/pejabrut/status/1644251954800111616,19,0,1,False,33025,kalian tim belanjain online atau on the spot 🖐️,You are shopping for online or on the spot 🖐️
2023-04-07 08:00:01+00:00,"Cok! Ada yang mau staycation dapet THR? Khusus f dom sby ya. Rep this post, aku m 25",EJAVofficial,https://twitter.com/EJAVofficial/status/1644248649239789570,3,1,17,False,21418,cok ada yang mau staycation dapet thr khusus dom sby ya rep this post aku 25,"cok anyone wants to staycation get a special THR Dom SBY, REP THIS POST MY 25"
2023-04-07 07:23:12+00:00,"@kutang_bolong @ListyoSigitP @DivHumas_Polri @CCICPolri @jokowi @mohmahfudmd .
.
Wiihhh Sangar.....
.
THR nya dobel kayaknya....
😅😅😅😅",OpaJoe_de_Queen,https://twitter.com/OpaJoe_de_Queen/status/1644239384323948545,1,1,1,False,869,wiihhh sangar thr nya dobel kayaknya 😅😅😅😅,"Wiihhh, the thrr is double, I think"
2023-04-07 06:41:23+00:00,"@txtdaribandung punteun pak dikondisikan juga ormas yang suka minta-minta thr kesetiap ruko menjelang lebaran, terus kalo ga dikasih marah-marah 👍🏻",hongjisoohoon,https://twitter.com/hongjisoohoon/status/1644228861343961088,4,7,113,False,583,punteun pak dikondisikan juga ormas yang suka mintaminta thr kesetiap ruko menjelang lebaran terus kalo ga dikasih marahmarah 👍🏻,Punteun Pak is also conditioned mass organizations who like to ask for THR every shop before Lebaran continue if not given angry 👍🏻
