date,username,content_clean,content_translated,sentiment
2023-04-08 06:13:17+00:00,igiveawaykri,sumbangkan 1 like kamu di pinned📌 dan semoga tahun ini lebaran bisa bagi2 thr sama keluarga❤️,Donate 1 like you in Pinned📌 and hopefully this year Eid can share THR with family❤️,positive
2023-04-08 06:02:52+00:00,MelesetDikit,kenapa thr hanya cair 50 duitnya masih dipinjam koruptor sabar yaa ingat bulan puasa harus ikhlas kalau gak ikhlas bisa batal puasanya bukan thrnya 😁😁,Why is the THR only 50 money is still borrowed by corruptors patiently remember the fasting month must be sincere if not sincere can be canceled fast not the THR 😁😁,negative
2023-04-08 05:29:30+00:00,adenan_abdilla,gimana gambaran thr tahun ini saudara2 jadi mudik kah jangan lupa selain baju lebaran ada biaya penitipan kucing yang harus disiapkan 😅😽,"What is the picture of the THR this year, you're going home, don't forget that in addition to Eid clothes, there is a cost of care for cats that must be prepared 😅😽",neutral
2023-04-08 04:50:08+00:00,convomfs,udah mau deket lebaran tapi kok thr belum ada yang masuk ya,"I want to be near Lebaran, but how come there's no THR has come in",negative
2023-04-08 04:02:54+00:00,loveforyujin,baikkkk banget dulu pertama kenal kirain orang indo eh tautau orang malaysia… its so random and funny tapi kamu fasih banget bahasa indonya oh iya mana kemarin mau tukeran thr tapi akunya lupa mata uang kita berbeda…,"It's really good, I first got to know the indo people, eh Tautau Malaysian ... its so random and funny, but you are very fluent in the Indonesian language oh yeah where yesterday I wanted to exchange THR but I forgot that our currency was different ...",positive
2023-04-08 03:46:36+00:00,Lqrqs,kalo buat pegawai lingkungan mah no problem malah seneng satpam jaga portal ronda pak sumbangan masjid jg ayo tp kalo sampe ormas… hhhhh lau sokappppp lo minta2 thr hobi bikin panggung nutup jalan malak parkir di alfamart ga bantu warga,"if for environmental employees, no problem, even the security guard is to guard the portal, the donation of the mosque is, but if you go to the mass organization ... hhhhh lau sokapppp.",neutral
2023-04-08 03:07:20+00:00,champagneojan,sumpah deh daripada ngasi thr ke sodara yang nggak dikenal mending dipake buat nambah tattoo duitnya 💀😭‼️ like who and why’d want my money 🫠🫠,"I swear instead of giving THR to an unknown brother, it's better to use the money to add the money 💀 Get‼ ️ Like Who and Why 'Want My Money 🫠🫠",neutral
2023-04-08 03:00:00+00:00,ShopeeID,sobat shopee jangan lewatkan shopee big ramadan sale promo mudik terbesar tanggal 1011 april belanja semua kebutuhanmu dan nikmati promo flash sale akbar rp1 gratis ongkir super dahsyat dan thr kaget 15m,Friend Shopee Don't Miss Shopee Big Ramadan Sale The Biggest Mudik Promo Promo on 1011 April Shopping All Your Needs And Enjoy Promo Flash Sale Akbar Rp1 FREE SUPER SUPER DAHSYY,positive
2023-04-08 00:53:28+00:00,apamungkasa,akhir bulan udah lebaran kalian udah siapin template jawaban dari pertanyaanpertanyaan yang ‘memuakkan’ itu,"At the end of the month, your Eid has prepared the answer template from the questions that are 'sickening'",negative
2023-04-08 00:12:55+00:00,anaklengkong,mereka paling berjasa kalo mereka ga kerja thr gaji kalian ga akan cair,"They are the most meritorious if they don't work your salary, your salary will not be disbursed",neutral
2023-04-07 22:19:42+00:00,ichaakartika__,lebaran bentar lgi dan pasti pertanyaan” begini bkln muncul •calonnya mana kapan nikah •udah nikah kan udah isi belom •anaknya udah gede gamau dikasih adek •kerjanya dimana •abis sekolah mau lanjut kuliah dimna drpd nanya mah aslinya mending ngasih thr aja ga sih ☺️,"Lebaran for a while and surely the question ""like this, how come the candidate is when the candidate is marriage.",neutral
2023-04-07 21:46:18+00:00,huniamania,bener gue ex fampb 2th pas bulan puasa yg bikin berasa bangeeet kerja orangorang dateng mepet pas mau buka tapi minta duluan sedangkan pengunjung awal banyak yg belum siap pas dapet thr ga sesuai sama capek wkwk boss pribumi lebih kejam daripada cyna,"Really, I ex FAMPB 2th during the fasting month that makes me feel like the work of the people comes tight when you want to open but ask first while the initial visitors are not ready when you get the THR in accordance with the same fatigue, the indigenous boss is more cruel than Cyna",negative
2023-04-07 21:38:15+00:00,Iunatico_feliz,mau bagibagi thr total rp24000000 buat 8 peserta paling rajin dan paling,want to share a total THR of Rp24 000000 for the 8 most diligent and most diligent participants,positive
2023-04-07 21:13:40+00:00,Iunatico_feliz,lagi mau bagibagi thr total rp24000000 buat 10 peserta paling rajin dan paling beruntung nih,I want to share the total THR total Rp24000000 for the 10 most diligent and luckiest participants,positive
2023-04-07 20:34:57+00:00,DOITSMARTWAY,ekonomi jumbo tapi thr hanya ngasih 50 kasihan menteri satu ini semakin lama semakin tidak memiliki arah dalam menyampaikan informasi ke publik,Jumbo economy but THR only gives 50 Poor Minister This one is increasingly having no direction in conveying information to the public,negative
2023-04-07 17:39:18+00:00,MisterPotato_ID,gokil banyak yg ikutan🥺 mister umumin bagi2 thr day 1 ditutup🤯👍 pemenang bakal mister reply langsung dan cek dm pas sahur nanti amigos yang belom sempet ikutan dan menang besok maseh ada lageeee,Many crazy people who follow the Mister annums for the Thr Day 1 closed🤯👍 winner will be a direct Mister Reply and check DM when the dawn will later amigos who hasn't participated and wins tomorrow the Lageeee is lageeee,neutral
2023-04-07 17:33:17+00:00,jumintenkoplak,besok mau bagi² bensin ke 10 org buat yg ojol yg jualan yang blm thr an yg ga dpt thr yang dan yang pantengin ya inshaallah rejeki kmn,tomorrow I want to share gasoline to 10 people for those who sell ojol who have not been a THR that can not,neutral
2023-04-07 15:07:21+00:00,ruliemaulana,thr itu kewajiban bagi yang memperkerjakan ada yang ga tau kalo satpam komplek itu yang memperkerjakan adalah warga malah kelewatan anehnya,THR is an obligation for those who employ some who don't know that the security guard who hires is that the residents are even strange,negative
2023-04-07 13:50:58+00:00,RelawanNusanta1,ada orang bpk jugangerik ini mah baku atur buat bagi2 thr ala bupati katrok,there are people who are also also set in this standard for sharing THR Ala Katrok Regent,neutral
2023-04-07 12:48:40+00:00,mantriss,kalau tanggal segini sudah dapat thr tetapi hampir habis apakah juga bisa mengadu ke posko,If this date can get THR but almost run out of whether it can also complain to the post,neutral
2023-04-07 12:12:37+00:00,Migran_TV_7777,ini negara terbaik meski honorer tanpa thr,This is the best country despite honorary without THR,positive
2023-04-07 12:01:42+00:00,AhmadMuhtar_98,wajar banget beliau pake tas branded beliau istri seorang presiden anggota g20 istri presiden coy masa pake tas kresek indomaret yang seharga 5000 perak perkara rakyat miskin melarat gak dapet thr ya bodo amat salah sendiri jadi rakyat koq miskin 😁🤣😁🤣🤣,"It is very natural that he uses branded bags, his wife is the wife of a president of G20, the wife of the president, coy, when we use the Indomaret plastic bag, which costs 5000 silver, the poor people don't get THR, so Bodo is very wrong, so the people are poor 😁🤣😁🤣🤣",negative
2023-04-07 11:12:12+00:00,dhemit_is_back,awas aja nanti ya fix kenal ulty babe soale ngajak buber thr on the way,"Just watch out later, Fix knows Ulty Babe, I will invite to baber THR on the way",neutral
2023-04-07 11:10:59+00:00,bengkeldodo,hemmmm aku mau minta thr lah,Hemmmm I want to ask for THR,neutral
2023-04-07 10:22:26+00:00,Santzjs,sapa mau thr,Who want THR,neutral
2023-04-07 10:06:07+00:00,SVGARR42K,duhhh aroma aroma thr nii svgar siap menerima 🥳🥳🥳,Duhhh Aroma Aroma THR NII SVGAR is ready to accept 🥳🥳🥳,positive
2023-04-07 09:27:55+00:00,Papa_aji,tiap ramadhan pasti ada ott kasus thr belum kah minggu2 terakhir biasanya,"Every Ramadan there must be an OTT case of the THR case, not yet the last week usual",neutral
2023-04-07 09:21:48+00:00,xboripx,dapat thr ya itu hak tapi sumber uangnya bila berasal dari cara minta kayak gini ya malah jadi pertanyaan dan polemik idealnya sudah jadi kesepakatan dan mufakat diantara pemerintah dan warga nya agar tidak ada yg merasa didzalimi,"get a THR yes it is a right but the source of money if you come from how to ask like this, but it becomes a question and the ideal polemic has become an agreement and consensus between the government and its citizens so that no one feels wronged",neutral
2023-04-07 09:12:46+00:00,Degrees_OFC,break time stay tune terus yaa untuk sesi kedua kita bakal balik setelah ini masih banyak ga dan thr gess,Break time stay tune continues for the second session we will return after this there are still many GA and THR gess,neutral
2023-04-07 09:11:18+00:00,haihaarf,dulu tinggal di cluster lama jg cuma dua poin itu sih petugas keamanaanampkebersihan pengurus rt dawis itu minta thr emang aneh tp yg lebih aneh lg kalo di datengin ormas minta thr sih semenjak pindah ke cluster lebih elit uda ga ada sumbangan gini lg,"In the past, I lived in the old cluster, there were only two points, the officers of the RT Dawis administrators asked for the THR, but it was strange, but it was stranger, if he was on the mass organization, I asked for the THR since moving to the more elite cluster, there was no contribution like this, there was no contribution",neutral
2023-04-07 08:55:15+00:00,rgoseh,mau bagi bagi thr 20k dana buat dua orang rt aja reply yang baik baik buat tahun ini,Want to share THR 20K funds for two RT people who are good good for this year,positive
2023-04-07 08:50:00+00:00,indomyfess,idm aku kasihan banget sama taehyung di saat bts solo karir semua buat lagu tapi taehyung harus magang di restoran mana gak dapat cuti thr lebaran juga belum tntu dapat kasian bgt😭,IDM I really feel sorry for Taehyung when BTS Solo career all for songs but Taehyung must be an internship at the restaurant which can't leave the Eid THR also has not been able to feel bad,neutral
2023-04-07 08:46:17+00:00,dilahsyawal,kok bisa suka sama sepupu yg dari kecil hampir tiap thn atau minimal 2 thn sekali ketemu pernah bobo bareng mandi bareng dimarahin bareng habisin uang thr jajan ga penting pokoknya semua aibnya ditau ngapain disukain,"How can you like a cousin who from childhood almost every year or a minimum of 2 years once met once a bobo together to take a shower together with the money finished money, the money is not important.",negative
2023-04-07 08:45:00+00:00,EJAVofficial,sedih cok baru gajian trus dapet thr tapi ga ada yang dijajanin ada dom sby yang mau jajan bareng aku m2x btw,sad cok just pay and then get a THR but there is nothing that is tailed with Dom SBY who wants to snack with me m2x btw,negative
2023-04-07 08:35:01+00:00,Yoionoh,『••••』ding dong your package has arrived to bang aden message for you dah beliin thr wat lebara nih biar rumah lu ada pajangannya yh sm” from,『••••』 Ding Dong Your Package has Arrived to Bang Aden Message for You Already Buy Thr wat Lebara so that your house has a display,neutral
2023-04-07 08:24:51+00:00,salima252lagi,zakat fitrah dipaksa per rumah minimal 3 org per rumah dan mesti beli beras ke musholla ya aneh satpam tukang sampah wajar dikasih thr pengurus rt mereka digaji kok 225 setiap bulan,"zakat fitrah is forced per house at least 3 people per house and must buy rice to the mosque, yes weird the security guard is a reasonable garbage, given the RT management",negative
2023-04-07 08:13:52+00:00,bayu_joo,dewasa level mau lebaran ngga mikirin baju baru tapi mikirin thr buat keponakankeponakan,mature level want to Eid not thinking about new clothes but thinking of THR for my nephew,neutral
2023-04-07 08:13:09+00:00,pejabrut,kalian tim belanjain online atau on the spot 🖐️,You are shopping for online or on the spot 🖐️,neutral
2023-04-07 08:00:01+00:00,EJAVofficial,cok ada yang mau staycation dapet thr khusus dom sby ya rep this post aku 25,"cok anyone wants to staycation get a special THR Dom SBY, REP THIS POST MY 25",neutral
2023-04-07 07:23:12+00:00,OpaJoe_de_Queen,wiihhh sangar thr nya dobel kayaknya 😅😅😅😅,"Wiihhh, the thrr is double, I think",neutral
2023-04-07 06:41:23+00:00,hongjisoohoon,punteun pak dikondisikan juga ormas yang suka mintaminta thr kesetiap ruko menjelang lebaran terus kalo ga dikasih marahmarah 👍🏻,Punteun Pak is also conditioned mass organizations who like to ask for THR every shop before Lebaran continue if not given angry 👍🏻,neutral
2023-04-07 06:12:08+00:00,justiceriots,maaf ya sepupusepupu ponakanponakan uang thr kalian tahun ini 20ribuan aja ya soalnya thr mau buat jaga jaga beli tiket coldplay jakarta kalo beneran jadi this year uhuy😃🙏🏼,"Sorry, cousins of cousins of your niece of your money, this year, this year, only 20 thousand, because the THR wants to take care of the Coldplay Jakarta ticket if you really become this year uhuy😃🙏🏼",neutral
2023-04-07 05:45:55+00:00,Aeringakak,❗️giveaway for exol❗️ utk annive exo ke 11 mimin mau ga lg nih khusus buat erina pastinya ada 8 winner yg bakal mimin spin utk mndapatkan 1 spay 25k 2 spay 15k 38 spay thr caranya 1 likertfollow 2 rep caption exo 11th anniversary 3 sertakan bukti ss no1,"❗️GIVIVEAWAY FOR EXOL❗️ For Annive EXO to 11 Mimin, I want it, specifically for Erina, of course there are 8 winners who will mimin spin to get 1 spay 25k 2 spay 15k 38 spay thr How 1 Likertfollow 2 Rep caption EXO 11th Anniversary 3 Include SS proofnumber 1",neutral
2023-04-07 05:40:02+00:00,worksfess,work guys kalo g4jii kalian pas2an di perantauan dan hanya dapet thr 500k dr perusahaan kalo kalian jd gue pas pulkam kasih thr ke keponakan atau ngga soalnya utk beridup disini gue jg kdg utang,Work guys if your G4JII is pas2an overseas and only get a THR 500K from the company if you are so Pulkam gives THR to my niece or not the problem is to live here I am also a debt,negative
2023-04-07 05:15:00+00:00,worksfess,work umur 24 tahun belum pernah ngerasain dapet thr karena belum pernah bertahan kerja di kantor yg sama dari ramadhan ke ramadhan berikutnya🥲🙏,24 -year -old work has never felt a THR because he has never survived work in the same office from Ramadan to Ramadhan next🥲🙏,negative
2023-04-07 04:38:26+00:00,leleyleley,alhamdulillah udah beres bagibagi thr ke pelanggan leganyaaaaaaaa sekarang tinggal nunggu dapet thr dari supplier,"Alhamdulillah, it's been settled for the THR to the reliable customer, now I just have to wait for the THR from the supplier",neutral
2023-04-07 04:18:32+00:00,Talang_69,menerima thr dalam bentuk ovogopayshopeepaydana transfer antar bank juga menerima no rek bisa dibicarakan lewat whatsapp,Receiving THR in the form of Ovo Gopay Shopeepay Interbank Transfer Funds also receive account number can be discussed via WhatsApp,neutral
2023-04-07 03:34:14+00:00,ganjarpranowo,kami sudah menurunkan tim pengawas yang tersebar di 6 satuan pengawas ketenagakerjaan harapannya semua perusahaan atau tempat kerja bisa melaksanakan kewajibannya masingmasing terkait thr posko pengaduan thr ditutup tanggal 13 mei 2023 catat ya,"We have deployed the Supervisory Team spread across the 6 Manpower Supervisory Units, it is hoped that all companies or workplaces can carry out their respective obligations related to THR THR Complaints Post Closed on May 13, 2023",positive
2023-04-07 03:15:48+00:00,hn256_,✨tanggal merah amp jumat berkah hai guys kali ini di bulan ramadhan spesial bentar lagi mau lebaran aku mau bagi thr buat 2 orang yang beruntung syarat nya 1 rt like amp follow acc 2 rep dengan meme paling lucu menurut kalian yuk gass amp end setelah tarawih,"✨ Red dated Amp Friday Blessings hi guys this time in the month of Ramadan special again soon I want Eid I want to share the THR for 2 people who are lucky the conditions are 1 RT Like Follow ACC 2 REP with the funniest memes according to you, Gass Amp End after tarawih",positive
2023-04-07 02:00:00+00:00,ShopeeID,jangan lewatkan keseruan promo shopee big ramadan sale promo mudik terbesar di promo puncak 1011 april kamu bisa belanja segala kebutuhan kamu dari berbagai brand yang keren banget dengan promo spesial flash sale akbar rp1 gratis ongkir super dahsyat dan thr kaget 15m,"Don't miss the excitement of the Big Ramadan Sale Shopee promo, the biggest homecoming promo at the Puncak 1011 Promo, you can shop for all your needs from a variety of cool brands with special Flash Sale Akbar promos of Rp1 free postage Super Dahsyat and THR is surprised 15m",positive
2023-04-07 01:43:23+00:00,husninidhom,jika minta maaf saya maafkan jika minta thr saya minta maaf,If I'm sorry I forgive if I ask for a THR I apologize,neutral
2023-04-07 00:53:11+00:00,jinlautselatan,bagi bagi thr buat 5 orang yang nggak puasa hari ini caranya retweet komen amp tag dua orang teman kalian dan follow nanti abis buka bakalan di undi,For THR for 5 people who are not fasting today the way to retweet comments amp tags two of your friends and follow later after opening it going in Undi,neutral
2023-04-06 23:20:01+00:00,GAHunterFess,hope butuh thr jalur ga teruntuk semua picker dimohon kerjasamanya 🤝🏻,Hope you need a THR path for not all pickers for cooperation 🤝🏻,neutral
2023-04-06 22:19:40+00:00,Iunatico_feliz,give away saldo 1 juta siapapun boleh ikutan siapa yg blm dpt thr sesuai janji bln lalu aku mau ga lg pemenangnya 5 orang masing 200k syaratnya follows my instagram acount like rt done,Give Away Balance 1 Million Any anyone can follow who hasn't been able to get the year according to the promise then I want to be the winner of 5 people each 200,neutral
2023-04-06 22:10:02+00:00,tanyakanrl,orang doyan amat pada pamer dapet thr atau dikasih pasangannya thr sih aku yg jobless ini kan jd sedih ga ada yg ngasih😭🙏🏻,"People are very fond of showing off the THR or given their partner THR, I'm the Jobless, so it's sad that no one gives",negative
2023-04-06 21:51:11+00:00,krisnodaelan1,mereka enak ya lebaran dapet thr gede,"They are delicious, Eid get big THR",positive
2023-04-06 21:50:26+00:00,fit_fitri_sw,giveaway saldo dana 10k buat 1 orang🌻 rt only via,Giveaway 10K Fund Balance for 1 person 🌻 rt only via,neutral
2023-04-06 21:11:09+00:00,hahahingang,demi thr aku rela menyepong bosque,For the sake of THR I am willing to keep bosque,positive
2023-04-06 19:54:05+00:00,pppkguru,pack saia honorer beberapa daerah sudah menawarkan beberapa solusi ada jang tetap ngasi thr ada jang meminta ke asn untuk swadaya ada jang engga cukup anggaran saia rasa kepsek engga bakal diem adja tinggal gimana para asn di sana,"SAIA HONORER PACK Some regions have offered several solutions to be still not necessarily THR there is a jang asking to ASN for self -help there is not enough budget that the principal will not be silent, how about the ASN there",neutral
2023-04-06 19:54:04+00:00,pppkguru,qna thr asn guru pack saia asn guru jang sudah tersertifikasi dan didaerah saia dapat tpp sejuta apa saia dapat 50 tpg engga tapi dapat tambahan 500rb dari 50 tpp daerah saia pns guru ada tpp p3k nja engga tapi saia ada serti dapet brp 1450,"QNA THR ASN Teacher Pack Saia ASN Teacher Jang has been certified and in the area of SAIA can be a million TPP, what can I get 50 TPG but can be an additional 500 thousand from 50 regional TPPs, SAIA PNS Teachers, there is a P3K TPP, but there is a number of 1450",neutral
2023-04-06 19:26:34+00:00,SnehaSa5447953,for me thr fv momnt not in bb its 25 yrs jurny rmbr the 1st fight in bb hus for abdu whn at ngt pri said let it be anki bb bad na tu mujhe roz dikhega na main rahpaungiabb main tujhe waise touch vi nhi krti kuyn ki wo feel hi nhi ati main wo sab daba dia kuyn ki sab,For me thris fv momnt not in bb its 25 yrs jurny rmbr the 1st fight in bb hus for abdu whn at ngt pri said let it be anki bb bad na tu mujhe roz dikhega na maingabb maingiabb maineFeel hi nhi ati main wo sab daba dia kuyn ki sab,neutral
2023-04-06 18:27:35+00:00,Iunatico_feliz,siapa yg blm dpt thr,who hasn't been able to,neutral
2023-04-06 18:24:41+00:00,Iunatico_feliz,give away saldo 1 juta siapapun boleh ikutan siapa yg blm dpt thr sesuai janji bln lalu aku mau ga lg pemenangnya 5 orang masing 200k syaratnya mbf instagram like rt done💛,Give Away Balance 1 Million Any anyone can follow who hasn't been able to get the year according to the promise then I want to be the winner of 5 people each 200,neutral
2023-04-06 17:32:03+00:00,Iunatico_feliz,give away saldo 1 juta siapapun boleh ikutan siapa yg blm dpt thr sesuai janji bln lalu aku mau ga lg pemenangnya 5 orang masing 200k syaratnya like rt done,Give Away Balance 1 Million Any anyone can follow who hasn't been able to get the year according to the promise then I want to be the winner of 5 people each 200K conditions like RT Done,neutral
2023-04-06 16:21:05+00:00,Iunatico_feliz,rp500000 dana kaget thr rt like done,rp500000 dana kaget thr rt like done,neutral
2023-04-06 16:20:48+00:00,swextdemon,mauuu giveaway enaknya skincare makeup thr aja buat jajan,Want to giveaway the delicious skincare makeup THR for snacks,positive
2023-04-06 16:14:12+00:00,makdooongie,nanti idul fitri aku dapet thrnya gausah uang deh dapet thr seunghwan jiwoong shanbin debut aja udah seneng harus paket lengkap 3 orang jangan kurang please aku mohon,"Later, Eid I can get the THR, I don't bother, I got the Thr Seunghwan Jiwoong Shanbin, just debuting, I have to be happy, I have to pack a complete package of 3 people, don't be less please please, I beg for",positive
2023-04-06 16:10:34+00:00,cursedkidd,ngasih thr ke syp ya bingung,"give THR to the syp, confused",neutral
2023-04-06 14:09:33+00:00,UN__Writes,han alhumdulliah 🤧😂,hana alhamdulillah 🤧😂,neutral
2023-04-06 13:23:13+00:00,Protestan_GL,april ini full senyum buat kita uda dosa dihapuskan dpt pahala dpt thr pula kalo cuma dpt teh aer🤭,this April is full of smiles for us to be eliminated to be rewarded and then only tea aer🤭,positive
2023-04-06 13:10:36+00:00,nunew_withyou,uang thr nya pake buat beli photobook znn wahahahha😭😭😭😭😭,The THR money uses to buy Photobook Znn Wahahahhacription,neutral
2023-04-06 12:58:26+00:00,jwisung02,giveaway berkah untuk anak rp thr ‼️2jt buat 20 orang masing2 100k‼️ caranya rt like tweet ini follow akun ini rep foto chara sambil senyum siapapun bebas ikut yang penting anak rp end sampai tanggal 2223 april,Giveaway Blessing for Children RP RP THR‼ ️2Jt for 20 people each 100k‼ ️ How RT Like Tweet Follow this account Rep photo of Chara while smiling anyone who is free to join the important child Rp.,positive
2023-04-06 12:27:59+00:00,loveyoufikkk,inpo thr nya kack,The thrown thrown information is a band,neutral
2023-04-06 12:22:39+00:00,HaiHaf,min tarik tunai di teller bank bni tapi dengan uang baru pecahan 2k 5k 10k buat thr apakah bisa,"Min, cash withdraws at BNI bank tellers but with new money 2k 5k 10k for THR can",neutral
2023-04-06 12:21:59+00:00,jellypinkbery,knp ya yg dpt thr tu kebanyakan anak anak kicikk pdhl kita yg udh tua tpi blm kerja ini juga perlu🥲,why can you get the THR most of the children kicikk pdhl we are already old but not yet work this is also necessary🥲,neutral
2023-04-06 12:20:32+00:00,noni_nitha,hamas sepertinya setiap tahun menjelang lebaran berbuat spt itu mungkin cari thr,Hamas seems to be every year before Lebaran doing SPT it might be looking for a THR,neutral
2023-04-06 11:37:51+00:00,Rudiyanto_zh,ingat angka di atas itu per tahun kalau asumsi sebagai gaji bulanan maka dibagi 13 krn ada thr contoh dki jakarta rp 301 jt 13 rp 23 juta jika gaji gross anda sebelum potong pajak di atas itu selamat anda di atas rata2 kalau di bawah mari berusaha lebih keras lagi,Remember the number above is per year if the assumption as a monthly salary then divided by 13 because there is a THR example of DKI Jakarta Rp. 301 million Rp. 23 million If your gross salary before cutting the tax above is safe.Again,neutral
2023-04-06 11:24:22+00:00,AlloBankID,tunggu mimin dapet thr👍🏼,Wait for Mimin to get thr.,neutral
2023-04-06 11:24:02+00:00,Waras4ever,apbn sehat tapi giliran byr thr asn gak full alesan perekonomian indonesia saat ini yg tdk memungkin membayar thr full,APBN is healthy but it is the turn of byr THR ASN is not full of the Indonesian economy at this time which is not possible to pay the full THR,negative
2023-04-06 11:23:08+00:00,faixxiy,nah beeru nah kuj nai hondaa bss ab apne aik aik kar ke nahi sahi wala jwb dena hai😂😂warna 💔🥲,nah beeru nah kuj nai hondaa bss ab apne aik aik kar ke nahi sahi wala jwb dena hai dana hai da hai daarna 💔🥲,neutral
2023-04-06 11:21:06+00:00,faixxiy,bssh allah hidayat de ameen 😂😂🤲,BSSH Allah HIDAYAT De Ameen 😂😂🤲,neutral
2023-04-06 11:18:49+00:00,faixxiy,heheh bhaii asal me precious cheezein ese he rakh de jati jaisa kah ap hain sa xiada precious 😂😂,Heheh bhaii asal me precious cheezein ese he rakh de jati jaisa kah ap hain sa xiada precious,neutral
2023-04-06 11:18:27+00:00,deluvanese,di grup pd brantem sama kepsek katanya gaada thr karena taun2 lalu gadikasi thr juga eh nyaut guru lama katanya pernah dikasi thr karpet sama taun kmren lg dpt bingkisan ksian blom bsa ngerasain thr jd guru tk wkwk kepseknya aneh pelit lagi wkwkwkwkwk,"in the PD Brantem group and the principal he said there was no THR because then the THR was also a gadikan, eh, the old teacher said he had been given a carpet with the same thing, I could get a gift from the Ksian yet, it could not feel the THR so the Kindergarten teacher was strange again.",neutral
2023-04-06 11:17:35+00:00,asmarakacau_24,orang lain pada terima thrkalau aku terima kamu apa adanya kok,other people receive THR if I accept you as it is,neutral
2023-04-06 11:17:30+00:00,faixxiy,hehehe seedha jawab dia naeem bhai ne kuch xiada he seedha wala😂😂,Hehehe Seedha Jawab Dia Naeem Bhai Ne Kuch Xiada He Seedha Wala,neutral
